reviewId,reviewDate,mainDepartment,subDepartment,productName,reviewTitle,reviewStar,reviewText,inconsistentStatus
R38LORZTK28O9V,"Reviewed in the United States on July 24, 2021",Electronics,CellPhones and Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",this one is not that good as they said. it is easy loose and has air bubble. I changed two already.,1.0,this one is not that good as they said. it is easy loose and hase air bubble after a few days. I already used thired one. :(,0
R1FYZE3DD3SJUA,"Reviewed in the United States on June 12, 2021",Electronics,Headphones,"Samsung Galaxy Buds Plus, True Wireless Earbuds (Wireless Charging Case Included), Black – US Version",Comfortable earbuds!,4.0,I like these earbuds. They are very comfortable and stays in your ears all day. It also has a lasting battery life as well. The only problem that I have with them is the volume for the left side is lower than the right side. I have followed some YouTube videos advice but the volume is still a little low.,1
RLUQ56JD2R9M1,"Reviewed in the United States on April 22, 2021",Electronics,Camera and Accessories,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio, Works with Alexa – 1 camera",Easy Set-Up but Spotty motion detection,4.0,"I like this camera a lot. It is easy to set up, easy to use, and I like the cloud option. However, one main flaw is motion detection. Interestingly the cam detects motion in some cases but misses in other cases. I don't know what the reason for that is. If you are 6-7 ft away, then it does not detect your motion at all. I wish they could improve its motion detection feature a bit more. Then it would be a great indoor camera.",0
R9TAL1BMGD2JS,"Reviewed in the United States on July 2, 2021",Home and Kitchen,Beds,"Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers","Very soft and don't lose their ""fluff""",3.0,"Very comfortable, can't remember if the were supposed to be memory foam or not, but I thought they were when i bought them, however they ARE very soft, like VERY soft, feels like sleeping on a cloud, also, they don't keep my head hot so I'm not sweating all over them, I'd buy again, and definitely recommend.",1
R28SSSHWPLRJGL,"Reviewed in the United States on June 7, 2021",Beauty and Personal Care,Makeup,"Physicians Formula, Murumuru Butter, Bronzer, 0.38 Oz",Worth the buy!!,5.0,"Love this, especially for my sensitivity with anything. Is perfect.",0
R2FNA1N8SH62TU,"Reviewed in Canada on January 11, 2016",Computers,Networking Products,"TP-Link TL-SG105 | 5 Port Gigabit Unmanaged Ethernet Network Switch, Ethernet Splitter | Plug & Play | Fanless Metal Design | Shielded Ports | Traffic Optimization | Limited Lifetime Protection",Spend a few extra $$$ to get a better management interface.,3.0,Interface is flimsy at best.  If I could return this item I would and I'd spend 5$ extra to buy a d-link managed switch with a decent web-interface.,1
RX2HDTP7TPDO4,"Reviewed in the United States on October 6, 2015",Computers,Networking Products,"TP-Link TL-SG105 | 5 Port Gigabit Unmanaged Ethernet Network Switch, Ethernet Splitter | Plug & Play | Fanless Metal Design | Shielded Ports | Traffic Optimization | Limited Lifetime Protection",Coil whine,2.0,"It works.  However, had a very high pitched whine / screeching noise when turned on.  Back to Amazon it goes, guess I'll try a different brand.",0
R1W6BKPQHP0UA1,"Reviewed in the United States on December 26, 2019",Electronics,Video games and accessories,Elite Series 2 Controller - Black,The best around,4.0,"Non responsive face buttons and one of the paddles are sitting improperly. That being said, it is a great product and would recommend. I am returning the one I have for a functional one and couldn't be excited enough to get back to gaming",0
RKKN1DINR37Y6,"Reviewed in the United States on December 1, 2020",Home and Kitchen,Furniture,"Amazon Basics Ergonomic Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Black",Lasted 19 months,3.0,I’ve had this chair since March 2019 and it’s done.  The wheels have broken off and cannot be replaced since it’s the connection on the chair legs that’s broken.  Wish it had lasted longer now that I’m working from home.,1
R2BSDZG8BFVVOU,"Reviewed in the United States on October 21, 2020",Computers,Computer Accessories & Peripherals,"livho 2 Pack Blue Light Blocking Glasses, Computer Reading/Gaming/TV/Phones Glasses for Women Men,Anti Eyestrain & UV Glare (Light Blcak+Clear)",Not sure If these work,2.0,Pretty big frames. Not sure if these really work,1
